<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,D,20210331,000000,63.9500000,64.8300000,62.5300000,63.0700000,198324
ICE.BRN,D,20210401,000000,63.1200000,65.1700000,62.3800000,64.6500000,304764
ICE.BRN,D,20210404,000000,64.5700000,64.8100000,64.2700000,64.6500000,2553
ICE.BRN,D,20210405,000000,64.6500000,64.7600000,61.2500000,62.3000000,146030
ICE.BRN,D,20210406,000000,62.3200000,64.2800000,62.0800000,62.6500000,190633
ICE.BRN,D,20210407,000000,62.6000000,63.5500000,61.6000000,62.9000000,219071
ICE.BRN,D,20210408,000000,63.0200000,63.4300000,62.3800000,63.3700000,153244
ICE.BRN,D,20210409,000000,63.2800000,63.4900000,62.5700000,63.0500000,117831
ICE.BRN,D,20210411,000000,63.0600000,63.3200000,63.0200000,63.2700000,1434
ICE.BRN,D,20210412,000000,63.2800000,64.3100000,62.4100000,63.2000000,162648
ICE.BRN,D,20210413,000000,63.2400000,64.1900000,63.1800000,63.9600000,139573
ICE.BRN,D,20210414,000000,64.0100000,66.9000000,63.8800000,66.2800000,201361
ICE.BRN,D,20210415,000000,66.3800000,67.0300000,65.9500000,66.8400000,136336
ICE.BRN,D,20210416,000000,66.8600000,67.3800000,66.4400000,66.7200000,114344
ICE.BRN,D,20210418,000000,66.7000000,66.7700000,66.3800000,66.4000000,2192
ICE.BRN,D,20210419,000000,66.4000000,67.2300000,66.1700000,67.1600000,111035
ICE.BRN,D,20210420,000000,67.2000000,68.0800000,65.5100000,66.3100000,196607
ICE.BRN,D,20210421,000000,66.2200000,66.5200000,65.5000000,65.5300000,53509
