<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20210225,000000,73.5084000,74.8580000,73.2720000,74.6600000,969053
USDRUB,D,20210226,000000,74.6110000,75.0550000,74.0120000,74.1750000,871435
USDRUB,D,20210228,000000,74.6750000,74.9400000,74.1560000,74.3110000,972
USDRUB,D,20210301,000000,74.5548000,74.7388000,73.8478000,74.2424000,724152
USDRUB,D,20210302,000000,74.1890000,74.7268500,73.5200000,73.7270000,884910
USDRUB,D,20210303,000000,73.8141000,74.1087000,73.3438000,73.9430000,741217
USDRUB,D,20210304,000000,74.0097000,74.9633000,73.2900000,74.5130000,1074994
USDRUB,D,20210305,000000,74.5589000,75.4180000,74.0484000,74.0770000,960802
USDRUB,D,20210307,000000,74.1850000,74.7270000,73.8900000,73.9520000,2284
USDRUB,D,20210308,000000,74.2492000,74.8705000,73.6500000,74.3920000,84630
USDRUB,D,20210309,000000,74.5089000,74.6316000,73.7257000,74.1367000,782920
USDRUB,D,20210310,000000,74.1322000,74.1750000,73.3230000,73.4800000,715986
USDRUB,D,20210311,000000,73.5343000,73.8648700,73.0480000,73.3044000,736242
USDRUB,D,20210312,000000,73.3049000,73.7300000,73.1000000,73.2461000,748676
USDRUB,D,20210314,000000,73.3055000,73.5260000,73.0860000,73.2940000,2413
USDRUB,D,20210315,000000,73.4176000,73.4700000,72.6010000,72.7404000,760718
USDRUB,D,20210316,000000,72.7426000,73.0561100,72.4790000,72.9299000,764575
USDRUB,D,20210317,000000,72.9173000,74.2163000,72.7490000,73.6611000,724716
USDRUB,D,20210318,000000,73.6602000,74.4014400,73.3923000,74.3209000,922125
USDRUB,D,20210319,000000,74.3620000,74.4705000,73.6856000,74.0959000,852219
USDRUB,D,20210321,000000,74.1537000,74.8650000,74.1537000,74.3235000,1820
USDRUB,D,20210322,000000,74.3237000,75.0867100,74.0360000,74.8770000,670437
USDRUB,D,20210323,000000,74.8761000,76.4747000,74.6880000,76.3250000,733604
USDRUB,D,20210324,000000,76.3909000,77.0530000,75.6405000,76.6455000,699105
USDRUB,D,20210325,000000,76.6420000,76.7225000,75.6260000,76.1447000,824652
USDRUB,D,20210326,000000,76.1350000,76.2173000,75.5457000,75.7547000,853694
USDRUB,D,20210328,000000,75.6740000,75.9676000,75.5120000,75.6686000,2633
USDRUB,D,20210329,000000,75.6853000,76.1106000,75.4670000,75.6751000,728337
USDRUB,D,20210330,000000,75.6873000,76.2750000,75.3500000,76.0007000,815835
USDRUB,D,20210331,000000,76.0027000,76.1930000,75.1702000,75.7061000,746188
USDRUB,D,20210401,000000,75.6986000,76.4589000,75.4890000,76.1490000,834920
USDRUB,D,20210402,000000,76.2871000,77.0044000,75.9040000,76.4630000,248713
USDRUB,D,20210404,000000,76.4630000,76.6614000,76.1875000,76.3960000,2481
USDRUB,D,20210405,000000,76.3960000,76.7309200,75.9320000,76.4697000,419534
USDRUB,D,20210406,000000,76.3450000,78.0500000,75.5150000,77.1080000,726711
USDRUB,D,20210407,000000,77.1093000,78.0349900,76.7580000,77.2081000,808276
